,STATION,DATE,AWND,PRCP,SNOW,TAVG,TMAX,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
165,USW00093738,2015-06-15,4.7,0.26,0.0,79,90,73,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
166,USW00093738,2015-06-16,8.05,0.0,0.0,80,91,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,USW00093738,2015-06-17,3.13,0.36,0.0,74,79,66,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,USW00093738,2015-06-18,4.47,0.62,0.0,74,88,67,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
169,USW00093738,2015-06-19,4.92,0.07,0.0,76,84,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,USW00093738,2015-06-20,4.92,1.11,0.0,76,87,70,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
171,USW00093738,2015-06-21,6.49,0.09,0.0,79,91,71,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,USW00093738,2015-06-22,4.92,0.0,0.0,81,89,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,USW00093738,2015-06-23,7.83,0.55,0.0,82,93,71,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
174,USW00093738,2015-06-24,7.38,0.0,0.0,74,83,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,USW00093738,2015-06-25,3.13,0.4,0.0,73,83,60,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
176,USW00093738,2015-06-26,5.37,0.0,0.0,72,80,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,USW00093738,2015-06-27,7.83,1.47,0.0,69,74,65,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,USW00093738,2015-06-28,6.93,0.37,0.0,69,77,61,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,USW00093738,2015-06-29,5.82,0.0,0.0,69,81,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,USW00093738,2015-06-30,6.93,0.12,0.0,74,85,62,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
181,USW00093738,2015-07-01,5.59,0.05,0.0,75,85,65,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
182,USW00093738,2015-07-02,3.8,0.0,0.0,72,74,62,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
183,USW00093738,2015-07-03,2.91,0.01,0.0,69,79,59,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
184,USW00093738,2015-07-04,1.79,0.86,0.0,72,81,68,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
185,USW00093738,2015-07-05,3.13,0.02,0.0,72,81,65,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
186,USW00093738,2015-07-06,5.14,0.5,0.0,76,84,72,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,USW00093738,2015-07-07,5.82,0.0,0.0,77,87,70,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
188,USW00093738,2015-07-08,5.14,1.6,0.0,78,88,73,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,USW00093738,2015-07-09,4.92,0.0,0.0,78,87,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,USW00093738,2015-07-10,7.16,0.0,0.0,78,84,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,USW00093738,2015-07-11,4.7,0.05,0.0,77,84,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
